Message,isRefactoring
final test and code refactoring,1
Introduced Database class as a facade to db test code Various renamed and minor refactorings,1
Refactored to use conversation scope.,1
bug; 3123689; iterate() field mapping type is missing; bug; 2856035; mapping primitive collections with iterate feature; refactoring; internal builder api changes;,1
Refactoring. Introduced a plugin interface. 2 advantages: * both the plugin and the plugin API can implement it and thus don't have to copy paste the Javadoc (except here the mailsender plugin was not implemented following the rule that the API must delegate its calls to the plugin proper) * allows to clearly see what's the plugin API and even create links to it in the documentation.,1
Refactoring,1
beta federation some refactor,1
Make new unit tests compatible with all targets; refactor Generator to take cmdline arg or current dir. rename some methods. add some output.,1
massive refactoring for better names added spring test for archives,1
Refactor code to prepare for custom label attributes. #39,1
refactored,1
Minor smoke test refactoring,1
1. Minor refactoring 2. Added QuickSelectTest 3. TODO Fix quick select,1
Updated to OptaPlanner 6.0.1.  Refactored source data to use separate teams venues and rankings files.,1
refactored error on current transaction,1
Refactor of some test method names.,1
Refactored classes to util package.,1
Refactor UI clustering test add test for view context,1
JBRULES720 Clips Parser Refactored functions so all functions are now added by the PackageBuilder into the RuleBase All functions now live in the MAIN namespace and the factory is always retrieved from there.,1
further Grade refactoring (see Enrolment.getGradesetGradesetGradeValue)  now implements ICurriculum  getCurriculum  EctsCredits and Weight for curriculum calculus must not take into account isExtraCurricular or isPropaedeutic,1
suspend/resume tests and test refactoring,1
Rehauled and refactored the InputHandler! Ok time for bed now.,1
RF12900: refactored org.richfaces.util.core.base64 to org.richfaces.base64,1
refactoring: rename method,1
Renamed the tab class and reformatted plugin.xml.,1
SPR 4359 renamed 'concurrent' namespace to 'task',1
cluster renamings and parameter fixes,1
Rename ResultSetMapper to ResultSetScanner,1
Renamed Oracle tests to comform with the other Unit tests that require a DB.,1
[MOD] XQuery: iterative evaluation of util:to bytes() [MOD] XQuery: Value.finish() renamed to .value() [MOD] XQuery: RangerIter removed and merged with RangeSeq,1
Updates SaveSelectionSearchResultAction to allow renaming an existing collection when no items are selected.,1
Rename fileter/CSRF/config/Interceptor.java to src/filter/CSRF/config/Interceptor.java,1
Rename ExtendedHierarchicKey to DeterministicKey. Add annotations and rewrite a bit of code to satisfy static analysis.,1
clarified the ODE package by breaking in into several sub packages and renaming classes. This also prepares future work for non stiff solvers.,1
Renamed StandaloneDeliveryCmd  > S...RunCmd,1
rename MR class,1
renaming and a comment,1
Renamed GLBenchmark to GLProfiler.,1
isEnvelope renamed,1
Adding a volatility cube instrument provider and renaming some files,1
renamed variable codeChanged,1
Added missing changes of renaming quitted to quit.,1
Renamed DeployApkMojo to DeployMojo.,1
core: Rename   canDoAction   to   validate  ,1
OPS: rename a couple Condition classes,1
rename files starting with cal10n as CAL10N,1
Rename ConnectionStrategy into KeepAliveStrategy,1
Rename ClaferObjective to ClaferOptimizer.,1
core: rename fields/setters/getters in VdsStatistics,1
start renaming things from GV/ghostview to pdf,1
[PLAT 1517] Rename Analytics Util classes to end with Utils,1
Rename to FaultListener to make it sound a bit more flexible in what it can do.,1
#198: Loggers renamed to JcabiLoggers,1
CSPACE 5012: Renamed method for generality; refined and added FIXME comments.,1
class renamed TclTodoPrefInitializer  > TclCorePrefInitializer,1
Repackaged renamed and reworking DatabaseManager,1
Renames getValue/putValue in State to getByPath/putByPath so that it's more clear exactly what it does.,1
TFJ 458 renaming ImageUploader to ImageUpload renaming TweetPhoto to Plixi as they have changed their service name.,1
Issue #51 Rename merge option to append Issue #59 Rename Agent Parameter 'file' to 'destfile',1
pixelserver: page* classes renamed,1
CLEREZZA 412: commit by rename utility,1
renamed preference manager group module to preference manager synchronize   rjrjr,1
Renamed method to avoid ambiguous calls,1
core: rename method RunAdAction to lowercase in LdapBroker,1
Renaming to match the test cases pattern.,1
added the view rename method. onItemChange  > onItemRenamed for consistency,1
PLANNER 746 Rename locateWorkingObject() to lookUpWorkingObject() relocate() to rebase() and Locator to LookUpManager,1
Added 12 Clash Pack promos 5 judge promos 2 upcoming FNM promos renamed MerfolkToken to MerfolkWizardToken added collector's number that were missing for ORI in mtg cards data.txt added other various cards.,1
renamed Transform and ValueDistribution accordingly.,1
Rename Drools Planner to OptaPlanner: package org.optaplanner.core,1
[AESH 138] renamed ParserBuilder to CommandLineParserBuilder,1
renamed BTS to ITS.,1
Issue 440: renamed vsphere >vi made sure all sandbox modules compile,1
http://code.google.com/p/mybatis/issues/detail?id 152 : Rename MapperScanner to MapperScannerPostProcessor,1
TYRUS 232: Renamed Connection to Writer and moved it to SPI,1
LOG4J2 1010 renamed ThreadContextDataInjector inner implementation classes,1
Rename GuardedBy to GuardedByChecker to avoid using the same simple name as the annotation.               Created by MOE: http://code.google.com/p/moe java MOE_MIGRATED_REVID 76825033,1
CLEREZZA 412: commit by rename utility,1
Perform rename from RestQueryCreator to RestQueryExecutor.,1
Rename encapsulator to quote char.,1
rename parameters for readability,1
threads package renamed to concurrent.,1
Renamed stringTo<Type> metods to to<Type>. The stringToInt methods have been deprecated.,1
MAGNOLIA 2542    Renamed UUIDLink to link and cleaned up the implementation.   Cleanup of methods in LinkUtil   Simplified link browser handling and made LinkTransformerManager configurable.,1
OGM 208 Renaming MappingService into OptionsService,1
