Message	isRefactoring
RESOLVED   bug 243575: [xslt][editor] Content Assistance for Call Templates https://bugs.eclipse.org/bugs/show_bug.cgi?id 243575	0
Integrated Jetty+Jersey	0
Android: If not licensed pop up dialog if less than 100 credits left.	0
One file more	0
More on entity model	0
call instruction now executing calls through existing call infra	0
vishnu amir | #121 | throwing exception rather than silently failing	0
allow components to check whether they are in an event loop	0
Updated tests for mixing with 2013 test data.	0
contextupdates are now smartlines	0
integrations for matlab OMS	0
Rebase NewLTTngProjectWizard on TMF	0
Enable toggling of debug print statements using DEBUG flag.	0
[JENKINS 21576] NPE NullPointerException in DiskUsagePlugin	0
Done at last for now...	0
defect 15090	0
verifying user input	0
Don't throw a ParseException when the lookahead parser produces a warning.	0
AVRO 50.Implement JSON data codec in Java.Contributed by Thiruvalluvan M.G. and cutting.	0
[NGRINDER 69]Integration test	0
Support for @ResourceFilters.	0
Give an option to repeat alert notifications (#3536)	0
Disable more flappers	0
CAY 1882 Porting to OSGi environment	0
Implement cascading functionality for triggers	0
more progress on new maven indexer version	0
in operator (unoptimized) (very) preliminary implementation of scan	0
Closes #393: Pass spark context as argument in Input Citation/Document Readers	0
Reports now support arbitrary tags not just stories and features.	0
FrameworkField TODO deletion	0
updates to discovery client	0
[NGRINDER 9] Finish the system framework and develop script management module	0
allow multiple collections	0
Auto configuration of AgiScripts	0
SONAR 8192 set root flag in UserIdentityAuthenticator	0
Dropping messages from self with DONT_LOOPBACK set from table in NAKACK2 and NAKACK (https://issues.jboss.org/browse/JGRP 1823)	0
generated charts for internal and external evaluator comparison	0
Bug 94726[osgi] ensure osgi packages follow eclipse API rules	0
Give command handlers consistent names.	0
Mavenize Action_Bar	0
releng: Make use of Tycho POM less functionality	0
Update Automounter to again support mounting expanded and update the URLStreamFactory call in VFS to place org.jboss.vfs.protocol last	0
HIVE 12765: Support Intersect (distinct/all) Except (distinct/all) Minus (distinct/all) (Pengcheng Xiong reviewed by Ashutosh Chauhan)	0
1) Different format for LoadBalancerCommand. 2) When apply lb rule for domR resend all lb rules belonging to the lb network	0
HSEARCH 2510 Avoid the extra iterable instantiation in CollectionHelper.iteratorFromArray	0
More tests for GBM/DRF model serialization.	0
Revert back to the package name   org.kohsuke.stapler   to avoid backward compatibility issues	0
EPD 138 and EPD 139: Introduction of new OwnShipHandler	0
Switch to JUnit. Got all tests running on GF3 remote.	0
snapshot resolution. commented out due to issues surrounding pom/artifact pairing	0
first version of the rewritten parser	0
Use Java SE's PrimitiveIterator instead of Troves custom definition.	0
  Single messages are now also parsed in TP.receive(); this allows receiver socket handler to reuse buffer if possible [https://issues.jboss.org/browse/JGRP 1998]   Set BasicTCP.use_send_queue to false by default   TcpConnection reuses (and grows) receive	0
actions patch from dms	0
SWS 517   Soap response validation errors after update to 1.5.7	0
Allow to configure any field for filtering   Closes #41 Closes #50   Make some Elasticsearch link 0.90 version specific.	0
redirects to the security error page when you don't have enough role rights	0
Bug 268916: Support genReport  help to show help document in command line Bug 268915: [Accessibility]Provide engine supported optionName/configName list in genReport help	0
Prepare to use stained glass for materialisation instead of ice	0
HDFS 7476. Consolidate ACL related operations to a single class. Contributed by Haohui Mai.	0
Update to Spring 4.x and major version upgrade of spring integration and spring ws modules	0
TAJO 1109: Separate SQL Statements from Catalog Stores. (Jihun Kang via hyunsik)	0
Parse dimensions beyond 2 but ignore them.	0
[JENKINS 31421] Make y axis label configurable.	0
test AdminLogin and prevent systemAccount login	0
Path annotation ignored when endpoint not set on caller	0
Updated PostgreSqlNode	0
WS A Support in Send Only activities	0
properties update	0
Arguments to methods made final	0
need teat	0
issue 65: Queuemap lock topic...proxies have to be Serializable. Now Hazelcast queuemap instances can be Serializable. It is serialized by reference not data!	0
time dependent nodes are marked dirty in an exported network.	0
Now the indexing and statistics engine fetch the different indexation and statistics provider of a given Silverpeas component by its qualified name from CDI. Integrate the last version webstart online edition application signed with the current valid certificate	0
Support several backends. Still struggling with Guice and Spring.	0
getSelf instead of getB	0
452323   Start   list config makes no hint on transitive enabled modules	0
Exposed truncate draw method javadocs.	0
GenerateUpdateMaql reflects dropped fields and generates corresponding MAQL DROP statements	0
reverted to   disable JxBrowser   for mac	0
support for all types that can be converted to strings	0
new extraDimensions API	0
Try to speed up database tests	0
Update method locations in TestPaxChronology	0
Require method.Always use version 170.Method for applying a js function.	0
Activiti Cycle: implemented   Overwrite technical model(s)   action	0
PDF 73 Upated annotation factory build annotation call to properly handle annotationState paramater.Also had to update the Annotation State api with a new restore call that will copy and apply the annotation state to a annotation passed in as a parameter.	0
Implementation of DKIM authorisation for iSchedule. Rearranged stuff to keep private keys private.	0
Server reseting stream	0
update the query api	0
doubling equiv. rules	0
use demoservice and tiles templates	0
Working on skillanimations	0
Make all services implementen Validatable	0
WFLY 2863: allows usage of EE Concurrency Utilities without an EE Component in context	0
made this plugin ES v0.90.0 compatible	0
web services	0
Enabling unit tests for WELD 333.	0
Test MVC now starts test then dumps state out.	0
updating the android client.	0
Permission's Reconstruction for next Reconstruction. Ultrabans now requires vault.	0
HBASE 14987 Compaction marker whose region name doesn't match current region's needs to be handled	0
rhino packages was in the wrong place.	0
Various updates related to hnm analysis	0
Unit tests for undirected graphs.	0
Starting the implementation of destrantiating. First simple working example.	0
Work to Denizen Core.	0
Updated matching algorithm in StateMachine	0
Title: parallel actions tests Description: @bug W 1704178@ @rev goliver@	0
Finish with the issues for version 0.1.2.	0
XCOMMONS 994: Failure to register a Converter with a nested type	0
PLANNER 491 locator prototype (unfinished)	0
finalization of the c module.	0
Demo starts to take some shape	0
Updating demos gf provider tests to latest API	0
[PDM 45] Support to generic POJOs Collections Arrays and Maps	0
Implement real er plugin description file	0
Per Zendesk's request s/ZenDesk/Zendesk/g (part 1)	0
Increasing test coverage	0
CSPACE 5518: Updating ServiceContext factory methods to accept a UriInfo rather thanMultivaluedMap<String String> queryParamsui.getQueryParameters();	0
[KARAF 3524] Features on conditionals are not installed	0
EHO 62 Detailed report data now has locked flag	0
New and noteworthy screen progress	0
[CXF 3150] Introducing ServerWebApplicationException and ClientWebApplicationException	0
use a plain Message rather than TextMessage	0
MX 11 excluded users are persisted	0
Merging Promise Implementations Autocommit Sun Jan 11 14:32:08 EST 2015	0
Start work on netty overhaul	0
Docker   new tests (#1536)	0
Use Real{VectorMatrix} in LeastSquares interfaces	0
ACCUMULO 196 prep shell for new shell servlet	0
list update via a scalar index	0
Order sprint0_4 tests in packages.	0
First implementation of #SPC 704	0
478372   JavaUtilLog setSourceClass and setSourceMethod	0
Work in progress intermediate commit.	0
begin i18n	0
DOXIA 364:Guarantee the state of sinks and parsers impl	0
MNGECLIPSE 1701: artifactid/groupid validation	0
utilities to find a distance between two boxes making fields in Figure private introducing textArea bounding box in Figure The same color for image caption and image itself in FigureVisualizer Nu safety checks in Segmentation model (used to be NPE when PDf is a scanned document)	0
Internalize some CTF APIs	0
getHasChilds()  > hasChilds().	0
categories working	0
initial compiling implementation of writing xml	0
Able to reconnect after a network loss	0
log error listener	0
TrackMate_: segmenters can now be tuned separately	0
Sessions are now wired through to the front end from the back end. They are being saved in the filesystem and are accessed via web service calls.	0
[misc]Porting 1/2 of CommentTest.java from Selenium1 to Selenium2	0
Ability to run bot output to a channel through an arbitrary !pipes expression.	0
ISPN 5630 Port tests from enty retriever to distributed streams	0
HandlebarsViewResolver should provide a registerHelper method #93	0
bug 230314   open generator to subclassing	0
feat(rest): fetch variables specified in the filter properties	0
[MONDRIAN 2438] (2) Invalid SQL Generation when using Calculated Members in Compound Slicer with Distinct Count Measures	0
WeakProfileContainer now wants a plugin reference.	0
fallback to OWB API   otherwise we need to take some logic on out side which will not be possible soon. Can break some AppComposer tests but we were really broken anyway and in all cases.	0
Undo previous chnages regarding BusEvent	0
Security finished. Started to code application logic	0
Reporting locations of macro definitions in macro explorer bug 23540.	0
HSEARCH 1317 Optimize tail recursion in NRT IndexReader reopening	0
solve cache issue	0
Working on it	0
export operation code and export cli command	0
TEZ 2224. EventQueue empty doesn't mean events are consumed in RecoveryService (zjffdu)	0
Annotate first 500 lines of TestYearMonth	0
[BISERVER 11433] report designer updates for encoding/decoding/reserved chars	0
Minor progress with parser	0
Jetty tests are running with Weld	0
BOOKKEEPER 331: Let hedwig support returning message seq id for publish requests. (Mridul via sijie)	0
Order_DetailsPK test passes (with properties not yet with links)	0
implemented getHyperlinkText() and getTypeLabel() for ModelElementHyperlink	0
JBQA 8017 Size rotating handler test rotate on boot attribute	0
FlatOpcXmlImporter constructor which takes an InputStream	0
tests docs	0
AWS Toolkit for Eclipse: v201710231659 Release.	0
LANG 1034: Recursive and reflective EqualsBuilder (closes #202)	0
Typed BindingPathElement Support for setBindingValue() in BindingPathElement	0
Netty provider sends parts twice over https port a29f682024b220438c55c4091010e1009e6936a3 to master	0
CLOUDSTACK 301 Nexus 1000v DVS integration is not functional	0
[SYNCOPE 665] Implementation completed	0
Exposing the rest of the fields in the Step object.Next thing: display them!	0
Abstracted NodeID	0
Avoid potential deadlocks in repositories view	0
Handle for/of the same as for/in in NameAnalyzer	0
[autotools] Prevent MalformedURLException when setting remote working directory.	0
continuing internalization	0
Use actual remote fingerprint rather than cached one	0
CAPEDWARF 10 Querying the datastore with filter   Entity.KEY_RESERVED_PROPERTY equals someKey   never returns any results	0
Decorators fully dynamic.	0
modularized JCR in its own module finally	0
allowing field inclusing/exclusion	0
BaseRepositoryExtension.	0
communicator   help now list types of messages	0
Test for No Defensive Copy of Maps	0
make joined vectors use standard componentCount	0
show after saving a displayValue and not the saved value. this is used for selection fields	0
Prototype of an R package to call Renjin from within GNU R	0
usable for human vs human	0
Partitions should remain unavailable until services commit/rollback	0
HADOOP 11201. Hadoop Archives should support globs resolving to files. Contributed by Gera Shegalov.	0
HIVE 6690 : NPE in tez session state (Sergey Shelukhin reviewed by Gunther Hagleitner)	0
CLEREZZA 191: In typerendering: rendering mode can now be regex and renderlet definitions are cached. Headed page adjusted	0
Looking swellio	0
Changing package name and groupId to prepare for 2.0.0 release	0
[FIN 10] Modularised hibernate code for the securities. See BeanOperation and instances thereof.	0
It works	0
Support for authority / host with http2	0
Math functions: update round function to support two arguments (second being dp)	0
Integrating clover coverage	0
OpenDoPE basic implementation (repeats & simple conditions only); to be tested	0
More intersection tests.	0
support for android keys	0
HDFS 7056. Snapshot support for truncate. Contributed by Konstantin Shvachko and Plamen Jeliazkov.	0
Produced GTFS feed without the shape.txt	0
Finished off the skeleton network code.	0
[JENKINS 17067] Updated story 6 test	0
Bug 405117   Ease specification of version range bounds that match the least/greatest version in a given branch	0
Updates to Zipkin 1.29 (#465)	0
HSEARCH 2689 Retrieve the EntityManagerFactoryRegistry through injection only	0
Support for selenium integration tests.	0
Detect consumer parent/child relationships on child's register.	0
STS 118: Allow sourcePage to be encrypted. The _sourcePage parameter is always encrypted before it is written. Easy access to the plaintext value is provided by the new ActionBeanContext.getSourcePage() method.	0
Notification messages implemented	0
completed basic modelling	0
JCLOUDS 281: Support Nova Block Device Mapping v2 Boot	0
Updates to commands and god mode	0
handle abnormal case	0
Revert   Revert   making it work with Jetty and spring MVC    	0
make sure to always use \n as line terminator when we send messages to the server	0
3.0 initial map.size impl.	0
Fake simulation of turbine processes   see issue #7	0
HIVE 11133: Support hive.explain.user for Spark (Sahil via Xuefu)	0
refresh whole repository.	0
The WorkflowProcessor is processing	0
473533: update markup to allow adjacent/nested span blocks	0
SONARJAVA 576 InstanceOf operator returning always true	0
updates	0
switch to full int types instead of shorts implement .equals(...)	0
Translated 'troedel' parameter to 'slowdown'.	0
First cut on using a dynamic Resource to expose Hibernate 2LC stats	0
Put the generation of a GATE doc in a separate method GATEProcessor.generateGATEDoc and use it in the GATECorpusGenerator	0
Implemented signature method.	0
flatten nested concatenations	0
CAMEL 6359: Bindy now supports enums. Thanks to Daniel Lorych for the patch.	0
UF 225 Skipping unlock when RuntimeException is thrown in AbstractIOService.endBatch()	0
Story 2171 import API work. Work in progress.	0
final touch ups security config and tonr2	0
DROOLS 7 Initial Working Phreak	0
Begin process of migrating to GraphProviders	0
reimplementation of context control tab	0
Allow to set scope from plugin	0
HADOOP 1730 unexpected null value causes META scanner to exit (silently)	0
Show octocat spinner when loading	0
[WICKET 5909] Session style is not taken into account when loading mounted resources.	0
WebDAV: Make use of RedirectedTransfer	0
[#2351] Relax ConnectionProvider contract allowing acquire() to return new Connections even before release() is called	0
http server request illegal state exception check	0
Broken but before I confuse myself any more...	0
pass toolkit as 1st parameter in constructor instead of overriding abstract method	0
Update to SpoutAPI. Signed off by: Chris Sanders <zidane@outlook.com>	0
TAJO 87: Integration of tajo algebra module and SQL parser	0
Let list facets cache their intermediate results in the database object. These results are shared among different users of the same database.	0
javadoc parsing works	0
Better API now for using XPaths	0
Bug 362602   [target] Target persistence for contributed locations is incorrect	0
Program files loading with prologparser library.	0
Initial version of Aspirin QoS package.	0
constructCloneCollection by instanceOf: fail fasts + generics	0
FALCON 731 Lineage capture for evicted instance is broken. Contributed by Sowmya Ramesh	0
json project configured	0
Portlets can now be placed with a tool.xml or configuring a standard one these only need to be in the portal war.	0
More work on HRecord values	0
Bug 498369   Xdebug: Variables view displays outdated values (bad refresh)	0
core: VDS implements BusinessEntity	0
widgets plugin take care of widgets hierarchy	0
Freezable is now SMSPersistable	0
Version 7990	0
Use a location obj to fill data from location file	0
Make bitcoinSerialize() return a copy by default provide an unsafeBitcoinSerialize() method for high performance applications that are willing to deal with the extra API complexity.	0
feat(cmmn/REST): manualStart disable reenable via REST API	0
CRUD operations for Abonent & Phone entities	0
Prepared registration of entrypoints by path in EntryPointManager   bug 365633: Register entrypoints by path instead of name https://bugs.eclipse.org/bugs/show_bug.cgi?id 365633	0
new config mechanism and better marshaling	0
Bug 255614   NPE while building my workspace	0
Issue #383: Support for remote lookup repositories	0
[SPARK 8269] [SQL] string function: initcap	0
log more info in debug mode; mark this branch as 1.2.0 SNAPSHOT	0
HBASE 5840 Open Region FAILED_OPEN doesn't clear the TaskMonitor Status keeps showing the old status (RajeshBabu)	0
One thing for STS 660 using Extension.Packages	0
335711 read lifecycle mapping metadata from maven plugin artifact	0
Import latest billing sample (7ec85a9b619fc5f85023bc8125e7e6b1ab4dd69f)	0
Finish medialpalyer on sliding	0
Updated the Mobile ESP java class for mobile device detection	0
[ENG 151] Ability to get risk out of db for testing purposes	0
BAEL 608   Introduction to Java9 StackWalking AP (#1329)	0
[JENKINS 17681] Set up a test which passes on Unix but fails on Windows when symlinks are enabled on the platform but disabled for the current user.	0
Allowing raw images to be read from a stream.	0
Debug model skeleton	0
Prevent the managed container from starting an AS7 instance if one is already running	0
Widgets now refresh off the EDT	0
Closes OOZIE 85 Incorporate review feedbacks	0
differentiate oauth1 vs oauth2 [i.garanina]	0
TrackMate_: 1st step in transition JGraph  > JGraphX	0
test(engine): unignore test case	0
Make `test modules` scheme available to compiled code.	0
Serialize the JSON node only if there is content	0
Allow adaptors to specify an internal handler package	0
CLOSED Task for WMS Get Capabilities Management for CSW	0
Work on my own things	0
RHQ 1315   subsystem view for alert definitionsimplemented all functionality listed in corresponding description of JIRA;	0
TESB 3156   Automated start / stop of Routes and Data Services  	0
Beginning of second round of candidacies	0
HIVE 243. ^C breaks out of running query but not whole CLI (George Djabarov via Ning Zhang)	0
Make publication date Optional	0
more code + integration test	0
fun with base64 url encoded data	0
Communication to the Console is now unicast TCP.	0
HIVE 13392 disable speculative execution for ACID Compactor (Eugene Koifman reviewed by Wei Zheng Alan Gates)	0
make annis service compile with salt simple	0
BeanParam supports annotations on fields and methods	0
(Re )activated 'shared' clones.	0
choose the location of the unique sandbox	0
DATAMONGO 1050   Explicitly annotated Field should not be considered Id.	0
Incorporated internal review comments	0
SONARPLUGINS 2868 Do not fail analysis if embedded mode and xdebug not installed	0
The refresh got sometimes stuck because countdown was zero	0
Support for grouping of fromsin imports with pep8	0
tightened implementation of the abstraction of the graph configuration.	0
FORGE 2279: ShellUtil checks for system property for option names	0
Mark AbstractWidgetLCA as deprecated	0
I think I've got the coordinates for the transects done I just need to figure out how to do a line perpendicular to and crossing other lines.	0
Docs on index support	0
implemented event bus send reply failures	0
Getting only case handlers	0
COMPAT mode for IE11: (#1010)	0
almost have game of life automatically running	0
Images for the tempo increase/decrease and pause/resume.	0
First hack at clojure script generation.	0
Test cases for BigDecimal detector (for RFE 2891944)	0
Updater: make XMLFileReader more object oriented	0
Java 7 source compatibility updates	0
HV 1385 Adjustments on the metadata API following BVAL 655	0
[SONARPLUGINS 823] simpler stax parser for gallio reports	0
method for checking if evaluator is internal or external	0
Simpler names for standard HTTP GET and POST classes	0
Bug 497348   Drag and drop of overflown editor tabs is broken	0
putting tests back	0
HBX 638 support null in query parameters view	0
[AS7 1981] WriteAttributeHandlers for server group's profile and server config's group attributes. Affected servers are put in the restart required state	0
* Filled in implementations of IMetadataConfigurable methods. * Updated Leica LEI reader to respect MetadataOptions when parsing metadata.	0
distributed update and commit	0
Bug #3624: History cache should be stored in Java DB	0
core: Standardize NetworkCluster	0
updating the javascript example	0
ading support for swagger response message and test updates	0
Strict pool can starve on discard	0
configurable lookup directories	0
FileSetChecks are now responsible for filtering out the files they are not interested in as discussed on the checkstyle devel list	0
srmclient: consolidate credential expiry don't use RuntimeException	0
more tests for regular expressions and array literals re write of regexp scanning to conform closely to ECMA 262 (with the exception of unquoted slashes in character classes which compc does not support) allow empty expressions in array literals (which allocate a slot with value undefined) allow trailing comma in array literals in ECMA 262 a trailing comma is allowed in object literals too   but compc does not allow that (both Flex 3 and 4)	0
Updated architecture.	0
Use a common shouldSkipObject method to avoid UNINTERESTING items	0
tomcat launcher (in progress)	0
Experimental PostgreSQL support	0
enabled search in working copies	0
Test help message with options.	0
Finished initial work on nio like API over JSch.	0
YARN 3695. ServerProxy (NMProxy etc.) shouldn't retry forever for non network exception. Contributed by Raju Bairishetti (cherry picked from commit 62e583c7dcbb30d95d8b32a4978fbdb3b98d67cc)	0
start time for triggers (  leave blank to start now  )	0
Issue 12: The bug of f:url() in case of url mapping.	0
HZN 1016: Make NodeMapsApplication work with new geolocation resolution	0
Further WIP on valiation/reading.	0
HTTPCLIENT 1384: Expose CacheInvalidator interface Contributed by Nicolas Richeton <nicolas.richeton at free.fr>	0
Group blogging: support for LIMITED users	0
Exclusion filter configuration in build path dialog	0
423048   Receiving a PING while sending a message kills the connection	0
More work on the metadata tests.   better protect against test interaction issues by using explicit   AfterClass  stand in tests for each subclass.   work on PluginManagerBeanTest such that it registers plugins to be enabledbefore trying to disable them.  Not passing maybe a real problem?	0
ACCUMULO 3167 Lift some repeated stuff into AccumuloClusterIT. Pass down env information from property file to cluster	0
Adjusted a test case for bug 268704.	0
initial HA work	0
Introducing taskname	0
support mixing fetch histories from multiple sources (hbase WBM).	0
override equals() on path and inode; test   .   and   ..   inode navigation	0
Coding done need to work on UI and unit tests	0
Pages now have titles and menuName/menuPriority and the StaticRepo can produce a map of menus from existing pages	0
update server proxy to get project list etc. properly	0
Finishing the sync of a vme observation including updates.	0
make http async client implementation be more pluggable	0
Issue #668: It's impossible to search all the terms in an ontology using the ontology access APIs Done.	0
[DROOLS 952] eagerly initialize declarations needed by a RuleTerminalNode	0
restapi: 'detail' in 'Accept' header ignored (#750785)	0
Bug 502090   [Cocoa] Bridge support files should be updated to latest macOS supported version	0
using bindings bean in tutorial 6	0
Version 6288	0
GenericConversionService prefers matches against inherited interfaces over superclasses (SPR 6297)	0
Getting ready for service!	0
expose lucene analyzer to be configured	0
NXP 14974 integrated redis sentinel pooling	0
Auto request and apply of completions	0
FACES 1980 Develop alloy:importConstants tag handler	0
CAMEL 6453 share the common code between NettyEndpoint and NettyHttpEndpoint	0
SWITCHYARD 1277 update to AS console v1.5	0
Tolerate less 'singularity' in matrix inverses; up the number of writes between rebuild in local mode but don't try to recompute a model in the middle of an ingest as there's more value in just waiting for all the data.	0
dev update	0
Implementation of Mark Resolved in the new API for 1.6 1.7	0
Sketch of SimpleBuildStep and its usage; not yet tested.	0
SecurityUtils becomes ExternalSchemes	0
working on album page	0
WL 3170 Promote methods to SignupEmailBase	0
Implementing via points for API only no UI. Integrating #147	0
Apply Symbian (Lars & Bala) patch for Shared Tool Options support	0
more Datatable updates	0
More MVP in WCS dialog (not builds)	0
Abstract message patterns	0
Minor tweaks to the themes and caching performed by the feed reader tag.	0
generate the content in factory and render them in presentation.	0
Bug 300441  [ui] flaky 'Next' and 'Finish' behavior when you un/check items after a failed install resolve	0
OpenID: POST message support for AX attacks	0
option for cns worker to take access credentials from properties file instead of casssandra	0
Starts with search in record data management	0
test files	0
Make sure SMTPClientFutureImpl is thread safe in all cases	0
refs #108   multi modules now	0
More tests; era seems to cause issues so check this separately	0
javadoc	0
I don't get spring batch :|	0
SOAPUI 4483Make sure that you can run the unit tests and integration tests independent from each other	0
propagation of encryption to Pool and graphFactory	0
implement untested osc package	0
Bug 446075   [GTK3] [GTK 3.10] Garbled bold text when used with icons	0
[JSON_PROCESSING_SPEC 5] Introducing JsonStructure that is the super type of JsonArray and JsonObject	0
Post method hanging and enable file based configuration.	0
Use a DataStore for Team configuration rather than the team object directly.	0
First Commit for the new version scalable. Working but needs test	0
Stream downtimes are not critical anymore. There is a downtime threshold	0
[news] implementing interfaces	0
send e mail	0
Initial TRIMESH support via GIMPACT	0
Reads are now realigned to the most likely haplotype before being used by the annotations.	0
DRILL 75 and DRILL 76	0
adapted fc server to the new fc commons	0
Fine tuning tests	0
server web socket	0
Tweaks needed to better support universal binaries	0
ManelSim using Maven2	0
area bean on abstract	0
[PLAt 2779] Test log collection	0
Perspective Editor now generates perspectives	0
word context from wiki api	0
Document the functions	0
[JGRP 719]   Allow ReplicatedHashMap to delegate to any ConcurrentMap	0
[CXF 5606] Optionally translating WADL docs into Java docs	0
Prune long record MVVs   bug 945244	0
DataTable Filtering Integration Test update.	0
SONAR 4304 close manual issues marked as resolved	0
makes write coalescing configurable	0
Update to new API version (see 61d91bf49763d87e8971303f1a21b3d640995a1a in api java)	0
Simple but better color dialog.	0
Linked file support experimental proxy support	0
CAY 1452 EJBQL query scalar result is not supported	0
[MRM 430] configuration adjustments and tests	0
classifying tests 12% I still need to work on handlers	0
updated distribution configuration	0
HBASE 2353. Batch puts should sync HLog as few times as possible	0
JC 2141 Different unsubscribe links depends what entity user subscribed for	0
backing out of the resource manager idea and reimplementing the old gc chain for 1.0	0
starting to use wro4j native xml parser	0
remote kie tests: COMPILING	0
Make LoggerStubFactory more versatile.	0
Obey the  Dandroid.device ... and <device>...</device> parameters for all adb commands.	0
Still allow online playing with the test mode checkbox activated.	0
first MultiVersion step	0
start using FibonacciHeap in CLE	0
Allowing IR future option surfaces to be defined as prices as well as implied volatilities	0
[SHRINKWRAP 308] Throw FNFE when attempting to find a URL from ShrinkWrapClassLoader pointing to an Asset that does not exist	0
first working example	0
NXP 4147: NXQL queries on tags with ecm:tag	0
show border for unknown tags on all opened vpe pages by clicking 'show border for unknown tags' button on toolbar (https://jira.jboss.org/browse/JBIDE 7383)	0
Resolving: MNG 684	0
made method names consistent from getCyWhatever to getWhatever	0
[JBIDE 19828] Reenable import wizard(s) for OpenShift	0
closing feature #3904	0
Updating requesting system	0
Update ListExercises.java	0
provide a method to pass in the attributes to fetch to work around problem with describeResults	0
ACT 221: implemented task listeners + tests	0
request status enum iig oruullaa	0
closes #94	0
System settings now shows the system administrators   fully functional	0
integrate scheduling extensions	0
isome valid code for import	0
[AS7 2439] Intermittent failures in EnterpriseDeploymentTestCase	0
Now allows retries and timeout	0
JBIDE 8011 https://issues.jboss.org/browse/JBIDE 8011	0
use fund instead of int.	0
Return the uuid by specific mediatype	0
now also works for less files with imports	0
Give messages IDs.	0
Started batch insertion implementation	0
Show Origin and People tabs recursively.	0
Make chunk size an argument. Default is  chunk_bits 24  > 16MB.	0
Also handle application image video audio content parts	0
TAJO 746: Implements function COALESCE. (hyoungjunkim via hyunsik)	0
Assure ResponseHandler is called once and only once	0
BT ingest: write everything at the end of ingest.	0
Comment out failing test.See bug #1600.	0
backed out stupid experiment	0
KARAF 424 use maven 3 dependency resolution using aether. Require maven 3	0
test	0
NXP 14879: impl getAggregates results	0
Allow `new URL(String)` with nested JARs	0
ACCUMULO 3599 Get (un)secure ITs running against mini/standalone	0
Updated all modules to new api some settings are still missing	0
